asymmetric,cafkafk,djacu,doronbehar,Ericson2314,fpletz,Gabriella439,getchoo,Infinidoge,jtojnar,kloenk,linsui,lovesegfault,mschwaig,numinit,nyabinary,phaer,proofconstruction,roberth,Scrumplex,tomberek,winterqt,yu-re-ka
1,1,1,23,1,18,1,1,19,1,1,1,1,1,1,20,1,21,1,1,1,22,1
1,1,1,1,1,1,1,1,1,23,1,1,20,1,1,1,1,1,22,1,21,1,1
1,1,1,12,15,22,1,11,1,13,1,1,20,18,16,1,23,1,19,17,21,1,14
21,1,1,1,20,1,1,1,1,1,1,19,1,1,1,1,23,18,22,1,17,1,1
1,1,1,1,1,1,1,1,1,22,1,1,19,1,1,21,1,1,20,17,1,23,18
14,1,17,11,18,4,9,20,10,6,8,7,16,15,22,2,13,19,21,12,23,5,3
1,1,1,1,21,20,1,1,1,18,1,1,1,1,1,1,1,19,23,1,22,1,1
1,1,23,16,1,1,1,1,1,19,17,18,1,1,20,1,1,1,21,1,22,1,1
1,12,1,1,1,14,21,16,17,23,19,15,1,1,1,1,1,1,13,18,1,22,20
21,1,1,1,1,1,23,1,1,1,1,1,1,20,1,1,1,1,22,1,1,1,1
1,1,1,1,20,22,1,23,1,21,1,1,1,1,1,1,17,1,18,1,19,1,1
20,1,22,1,1,1,1,1,1,1,1,1,1,1,23,1,1,18,19,1,21,1,1
15,17,2,12,18,4,23,14,6,16,3,1,8,7,10,20,11,21,22,19,9,13,5
21,1,1,1,20,23,1,1,1,1,1,1,1,1,1,1,22,1,1,1,1,1,1
1,16,1,1,23,1,15,1,19,21,1,1,20,1,1,1,1,1,17,1,18,22,1
1,17,1,1,1,19,20,1,1,1,22,1,18,1,1,16,1,1,14,15,1,21,23
11,14,1,7,5,20,19,15,16,21,18,13,6,10,3,12,9,4,8,17,2,23,22
1,1,1,17,1,20,19,1,1,1,1,1,18,1,1,1,23,1,22,1,1,1,21
1,19,1,16,17,1,23,1,1,1,1,1,1,20,21,1,1,18,1,1,22,1,1
16,2,7,8,23,15,5,6,10,21,19,14,18,9,4,3,11,12,17,13,20,1,22
20,22,3,10,7,11,21,18,14,15,2,1,8,6,5,19,23,13,12,9,4,17,16
1,1,1,1,23,21,13,1,1,15,1,1,20,11,16,1,17,19,18,1,22,14,12
1,1,1,1,1,1,1,1,1,1,23,1,1,1,1,22,1,1,1,1,1,1,21
19,22,1,1,1,20,23,1,21,1,14,1,1,1,1,1,15,1,1,18,1,17,16
1,1,1,1,1,21,22,1,1,1,1,1,1,1,1,1,1,1,1,1,20,23,1
23,20,1,17,21,19,22,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,23,1,1,1,1,1,1,1,20,1,1,1,1,1,21,1,1,22
19,2,3,15,22,14,17,8,10,20,11,23,18,7,4,1,12,9,21,6,5,13,16
1,1,1,1,22,1,1,1,1,21,1,1,19,1,1,1,1,18,23,1,20,1,1
14,20,1,1,1,1,23,16,1,15,1,1,1,21,1,19,17,18,13,1,12,22,1
17,1,21,1,20,18,1,1,1,1,1,1,1,1,19,1,1,1,22,1,23,1,1
13,15,8,2,23,22,21,4,10,19,12,6,14,3,7,11,5,16,20,9,1,18,17
1,23,18,1,17,1,20,1,1,1,1,1,21,1,19,1,1,1,1,1,22,1,1
22,13,4,12,17,11,14,8,6,23,3,10,21,7,2,1,19,15,18,9,16,20,5
1,1,1,1,23,1,20,1,1,1,1,1,1,1,1,1,19,1,22,1,21,1,1
13,17,1,22,11,23,9,18,5,16,3,4,6,10,7,19,14,8,21,12,2,20,15
1,23,1,1,21,1,19,1,1,1,1,16,1,1,1,22,1,20,17,1,1,1,18
11,1,23,14,21,16,1,17,9,10,13,1,15,12,20,1,19,1,18,8,22,1,1
1,22,1,1,1,1,1,1,17,23,1,1,20,1,1,16,1,1,19,18,1,21,1
1,1,1,1,1,1,1,19,1,1,1,17,18,1,23,1,22,1,1,1,20,21,1
1,1,12,20,23,18,17,11,1,1,19,22,10,15,14,1,13,1,21,16,1,1,1
1,1,1,1,23,1,1,1,20,21,1,1,1,1,1,1,1,1,1,1,1,1,22
11,1,14,8,23,17,2,9,7,18,6,16,20,5,12,3,13,15,21,10,19,4,22
20,1,1,1,1,23,22,1,1,18,1,1,1,1,1,1,21,19,17,1,1,1,1
1,1,1,1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,22,1,21,1,1
1,1,1,1,23,1,1,1,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,23,1,1,1,20,22,1,15,1,1,1,1,1,1,21,1,1,1,18,1,19,17
1,1,1,1,23,1,1,1,1,1,1,1,1,1,21,1,1,22,20,1,1,1,1
1,18,1,14,23,13,19,12,21,22,1,1,10,17,1,9,1,1,15,20,16,1,11
1,1,1,1,23,22,1,1,1,21,1,1,20,1,1,1,1,1,1,1,1,1,1
1,22,1,1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1,1,1,23,1,18,1,1,1,1,1,17,1,1,1,1,1,22,1,21,20,1
10,18,1,1,8,19,22,15,16,20,1,14,1,13,1,1,11,12,9,17,1,23,21
1,23,1,1,1,1,21,17,18,20,1,1,16,22,1,1,1,1,19,1,1,1,1
14,23,1,1,1,16,21,1,1,18,19,1,1,1,1,1,15,1,1,17,1,22,20
1,1,1,1,22,18,1,1,1,19,1,1,1,21,1,1,1,1,20,1,23,1,1
9,21,1,18,8,23,13,5,2,20,10,3,7,14,11,16,15,12,19,6,22,17,4
1,20,1,1,1,1,1,17,1,1,1,1,21,1,1,1,1,19,1,1,18,22,23
10,1,9,19,23,6,3,18,12,17,4,5,11,15,13,2,8,7,22,16,14,20,21
1,1,1,1,23,1,1,1,1,1,1,1,1,21,1,1,1,1,20,1,22,1,1
18,2,20,16,17,9,12,5,6,4,7,10,11,19,23,3,14,15,21,13,22,8,1
1,23,1,15,1,1,20,11,16,13,22,14,1,9,1,18,1,10,12,17,1,21,19
15,13,11,16,19,9,21,12,8,22,17,6,20,4,3,1,10,7,18,14,5,23,1
1,1,1,1,1,1,1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1
1,21,1,1,23,1,17,1,1,20,1,1,1,1,1,1,1,18,22,1,16,19,1
11,16,1,4,10,14,15,13,22,19,20,9,8,5,3,23,7,17,6,18,2,12,21
1,22,1,11,15,1,21,16,17,1,1,1,13,23,19,18,1,14,1,1,20,12,1
1,1,1,1,23,1,1,1,1,1,1,1,18,1,17,1,20,1,22,1,19,21,1
12,19,1,3,10,7,17,11,21,8,14,5,6,13,4,23,15,20,9,22,2,18,16
1,1,1,1,22,1,1,1,1,1,1,1,1,1,1,1,21,1,23,1,1,1,1
1,1,1,1,21,18,19,1,1,17,1,1,23,1,1,1,1,1,22,1,20,1,1
1,23,1,1,1,1,22,1,20,1,1,1,1,18,1,17,1,21,16,1,15,1,19
1,1,1,1,21,20,1,1,1,1,1,1,1,23,1,1,22,1,1,1,1,1,1
16,22,1,9,1,13,15,21,20,10,11,18,1,8,1,12,14,1,1,19,1,17,23
15,23,1,1,1,17,19,1,1,18,20,1,1,1,1,1,14,1,1,16,1,22,21
12,1,20,15,22,13,3,16,8,9,5,7,11,19,18,2,17,6,21,10,23,14,4
1,15,1,1,1,19,21,1,16,20,17,1,1,1,1,14,1,13,1,18,1,23,22
19,1,1,1,1,1,1,1,1,1,1,1,1,21,20,1,1,22,1,1,23,1,1
13,1,1,15,23,21,1,16,1,22,1,1,18,11,1,1,12,1,20,14,17,1,19
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,23,1,21,1,19,1,1,1,1,1,1,1,20,1,1,1,1,1,22,1,1
7,1,23,12,20,15,1,17,8,11,10,13,16,14,21,1,18,6,19,9,22,1,1
1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,1,1,1,1,1,1
20,7,1,11,21,18,8,10,14,13,22,12,19,23,6,3,17,16,15,4,5,9,2
23,17,1,1,18,1,20,1,1,1,1,1,1,1,1,1,19,21,22,1,1,1,1
14,3,21,17,22,18,2,16,6,15,13,20,11,7,8,5,9,1,10,4,23,12,19
1,1,1,1,1,1,1,1,22,23,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,17,1,15,16,1,1,1,18,1,1,21,13,1,1,23,1,22,20,19,1,14
1,1,1,1,16,18,1,1,1,20,17,1,23,1,1,15,22,19,14,1,13,21,1
11,19,1,10,22,23,21,1,1,20,16,1,9,1,1,18,15,1,14,1,13,12,17
23,1,1,1,22,1,1,1,1,20,1,1,1,1,1,19,1,21,1,1,1,1,1
10,13,1,12,9,19,18,17,7,23,20,5,16,4,3,8,15,6,14,11,2,22,21
1,1,1,1,23,22,21,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1
1,1,20,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,22,1,1
1,16,19,23,17,15,11,22,1,13,8,9,20,1,14,1,1,1,12,1,21,18,10
1,1,1,1,23,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,1
18,1,1,1,23,1,19,1,1,22,1,1,1,1,1,1,1,1,20,1,21,1,1
1,1,1,17,20,19,1,1,1,14,1,18,22,1,16,1,1,1,21,15,23,1,1
21,23,1,17,1,1,1,1,19,1,18,1,1,1,1,20,1,22,1,1,1,1,1
14,22,1,13,7,12,16,3,19,21,10,5,6,11,4,23,18,20,17,9,2,15,8
17,1,1,20,23,1,18,1,19,16,1,1,1,1,1,1,22,1,1,1,21,1,1
1,1,1,1,21,1,1,1,1,1,1,1,23,1,1,1,1,20,22,1,1,1,1
19,1,1,1,22,18,23,1,1,15,1,1,20,1,1,1,17,1,21,1,1,1,16
2,16,10,18,22,9,1,12,8,23,15,6,21,11,7,4,3,5,17,13,19,14,20
16,2,23,14,3,19,1,17,7,12,13,9,21,5,22,4,18,11,10,6,15,20,8
1,1,1,1,16,23,1,1,1,19,20,1,1,1,1,21,15,1,22,1,18,17,1
1,1,1,1,22,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,1
1,21,1,1,1,1,1,22,1,1,1,1,1,1,1,23,1,1,1,1,1,1,1
17,20,1,16,23,21,19,15,14,11,1,1,13,1,1,1,10,12,22,1,1,18,1
1,22,1,1,1,17,23,1,1,1,21,1,1,1,1,1,18,1,19,1,1,20,1
1,1,21,1,18,1,1,20,1,1,1,1,19,1,23,17,1,1,16,1,22,1,15
1,20,1,1,21,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
1,1,1,1,22,21,19,1,1,1,1,1,18,1,1,1,1,1,23,1,20,1,1
17,1,21,18,1,1,20,1,1,1,1,1,19,16,1,1,22,1,23,1,1,1,15
12,22,1,3,18,15,23,19,13,8,14,5,7,20,4,21,11,16,17,9,2,10,6
6,21,2,19,20,23,11,8,7,22,3,1,16,5,14,13,9,4,17,10,18,15,12
15,1,16,13,18,7,20,14,6,12,3,5,11,23,17,9,19,2,21,10,22,8,4
20,23,1,1,22,14,21,19,15,1,1,1,1,1,1,18,17,1,16,1,1,1,1
1,1,1,1,23,1,1,1,1,21,1,1,1,1,1,1,1,1,20,1,1,22,19
1,1,1,1,21,1,23,18,1,1,1,1,1,1,1,1,1,1,20,19,17,22,1
15,16,1,10,20,12,18,14,13,22,9,1,11,1,1,1,1,1,23,21,1,17,19
1,15,17,1,19,1,1,1,16,21,1,22,1,1,1,1,1,1,23,1,1,18,20
20,23,1,15,21,12,17,19,13,11,1,1,8,10,1,14,7,1,18,9,16,22,6
13,19,4,5,21,1,22,7,18,15,3,6,10,14,12,8,2,23,20,11,16,17,9
1,1,1,1,1,1,22,1,1,1,1,1,1,1,1,1,1,1,1,1,23,1,1
1,1,1,20,23,1,1,1,1,1,1,1,1,1,22,1,1,21,1,1,1,1,1
1,21,1,1,16,1,22,19,1,17,1,20,15,1,1,1,1,1,1,18,1,23,1
10,18,1,2,19,5,14,12,3,8,6,17,13,16,11,22,4,9,23,21,20,15,7
22,16,18,1,1,11,1,21,10,8,1,1,1,17,15,14,19,13,20,1,23,12,9
11,10,1,1,8,20,22,16,17,21,1,15,1,14,1,1,12,13,9,18,1,23,19
1,1,1,22,21,18,1,1,1,23,1,1,20,1,1,19,1,15,16,1,14,1,17
20,19,2,10,23,14,21,7,12,5,6,8,16,3,11,4,13,18,22,17,1,15,9
10,21,1,9,22,8,23,17,16,15,7,2,14,13,6,12,20,4,5,11,19,18,3
1,18,1,20,23,1,22,1,1,1,1,1,1,1,1,1,1,1,17,1,19,21,1
19,6,17,12,22,11,2,3,7,15,5,14,8,13,18,1,16,20,23,10,21,9,4
1,1,1,1,22,23,1,1,1,21,1,1,1,1,1,1,1,1,1,1,20,1,1
1,1,23,1,21,22,17,1,1,20,1,1,1,1,1,1,1,1,19,1,18,1,1
1,1,20,19,23,1,1,1,1,17,1,18,1,1,1,1,1,1,21,1,22,1,1
1,1,1,1,18,1,1,1,17,23,1,22,20,1,1,1,1,1,19,21,1,1,1
1,1,1,1,1,1,1,1,22,1,1,1,1,1,1,21,1,23,1,1,1,1,1
1,1,1,20,22,1,18,1,1,1,1,1,21,1,1,1,1,1,19,1,23,17,1
1,1,1,1,1,1,1,21,1,1,1,1,1,23,1,1,20,1,1,19,22,1,1
23,1,1,1,1,17,1,1,1,18,1,1,1,1,1,1,22,1,21,1,16,20,19
13,15,1,19,1,17,1,18,1,1,1,1,1,20,1,1,16,1,22,14,21,1,23
1,19,1,15,1,16,21,18,17,13,1,1,11,1,1,12,23,1,20,14,1,22,1
8,17,3,11,16,6,12,19,15,18,9,4,13,21,7,10,1,2,22,23,20,5,14
17,1,1,1,23,18,1,1,1,1,21,1,19,1,1,1,22,1,1,1,20,1,1
1,18,1,21,1,19,1,17,1,23,1,1,1,1,1,1,16,14,20,15,1,22,1
1,18,1,1,1,1,1,17,1,19,1,14,1,16,20,21,1,1,1,15,23,22,1
9,6,19,20,22,8,5,10,7,16,4,14,21,13,15,12,11,18,23,3,17,2,1
1,1,1,1,22,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,12,8,4,19,5,10,13,11,15,3,2,14,16,7,23,17,22,20,21,6,9,1
13,1,18,17,23,16,1,1,1,10,1,19,14,15,21,1,11,1,9,12,20,1,22
1,1,1,1,23,18,1,19,1,16,1,15,20,1,21,1,17,1,1,1,22,1,1
1,1,1,1,22,21,23,1,1,18,17,1,20,1,1,1,1,1,19,1,1,1,1
18,22,1,3,16,8,23,17,15,14,4,9,11,13,10,19,6,12,7,21,2,20,5
1,1,1,1,1,1,23,20,18,21,1,1,1,16,1,19,15,22,1,1,14,17,1
1,17,1,1,1,1,20,1,18,1,1,1,1,1,1,19,1,1,21,1,23,22,1
1,17,1,1,1,1,23,12,21,11,20,1,1,13,1,22,14,15,1,1,16,18,19
18,20,1,1,22,1,1,1,16,1,1,1,1,17,1,15,19,1,23,1,21,1,14
17,21,6,11,2,16,15,3,12,13,8,9,7,5,4,22,10,19,18,14,1,23,20
20,19,1,1,1,18,17,16,15,1,14,1,1,1,1,1,13,1,1,21,1,22,23
20,21,1,16,22,19,23,18,13,9,1,15,1,1,1,10,12,14,1,17,1,8,11
1,1,18,21,19,1,17,1,1,1,1,1,1,1,1,1,22,1,23,1,20,1,1
