asymmetric,cafkafk,djacu,doronbehar,Ericson2314,fpletz,Gabriella439,getchoo,Infinidoge,jtojnar,kloenk,linsui,lovesegfault,mschwaig,numinit,nyabinary,phaer,proofconstruction,roberth,Scrumplex,tomberek,winterqt,yu-re-ka
19,22,1,14,1,1,23,1,10,16,1,1,13,18,1,20,9,21,15,17,12,11,1
1,1,1,1,1,1,20,1,1,22,1,1,19,1,1,1,1,1,23,1,1,21,1
1,1,1,1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,21,1,1,1,22
14,18,1,7,8,22,12,23,20,11,21,9,5,6,10,13,16,4,3,15,2,19,17
1,1,1,17,22,19,1,1,1,20,1,1,16,1,1,1,1,1,23,1,1,18,21
7,6,19,8,22,11,10,18,2,9,3,1,20,5,17,4,14,13,21,16,23,12,15
12,23,1,8,21,17,1,19,10,16,1,9,1,15,1,1,13,11,22,14,1,18,20
14,1,13,9,15,18,17,12,7,3,5,8,6,16,21,11,20,10,22,2,23,19,4
1,1,19,1,1,1,1,22,1,1,1,1,21,1,20,1,1,1,1,1,23,1,18
1,21,1,1,20,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1
18,17,1,1,20,1,23,1,19,12,1,1,13,21,1,22,14,16,15,11,1,10,1
1,1,16,1,23,1,20,1,1,22,1,1,17,1,1,18,19,1,1,1,21,1,1
1,1,1,1,23,1,21,1,1,1,1,1,1,20,1,1,1,1,22,1,1,1,1
1,22,1,1,1,1,23,1,1,1,1,1,1,1,1,21,1,1,20,1,1,1,1
18,2,5,1,21,11,23,7,10,3,15,4,14,8,17,19,13,20,16,6,9,22,12
1,1,1,1,1,1,1,1,1,22,1,1,1,1,1,23,1,1,21,1,1,1,1
20,22,1,6,17,9,23,3,15,13,8,10,5,7,4,21,12,19,18,11,2,14,16
9,1,10,13,1,20,16,12,14,18,21,11,19,1,8,1,1,15,1,22,1,17,23
1,18,1,21,1,1,23,1,1,20,1,1,1,1,1,1,1,1,22,1,1,19,1
1,18,1,14,19,23,20,11,1,22,16,13,12,1,1,1,1,1,21,1,15,10,17
1,23,1,1,1,19,22,12,18,16,15,1,20,11,1,13,1,1,14,21,1,17,10
1,23,1,1,1,1,22,1,1,1,1,1,1,1,1,1,1,1,21,1,1,19,20
1,20,1,1,1,1,23,1,17,22,1,1,1,1,1,21,18,1,1,1,1,19,1
1,1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1,1,1,21,18,16,1,1,17,1,1,1,1,15,1,20,1,22,1,1,23,1
1,19,1,1,21,1,23,18,17,15,1,1,14,13,1,20,1,1,22,16,1,1,12
1,1,1,1,17,1,1,1,1,19,1,1,21,1,1,22,23,1,20,1,1,1,18
12,9,1,3,20,6,18,11,19,16,22,7,5,8,4,13,14,17,15,10,2,21,23
1,21,1,1,1,1,1,1,1,1,1,1,23,1,1,1,1,1,1,1,1,22,20
21,2,5,10,20,18,6,3,4,14,9,7,11,16,19,12,15,17,22,1,23,13,8
1,23,1,16,22,20,1,14,11,21,13,1,12,1,10,15,9,17,18,1,1,19,1
1,1,20,16,23,1,1,18,1,1,1,1,17,1,21,1,19,1,1,1,22,1,1
23,1,20,21,14,13,1,1,1,22,15,18,8,12,17,1,16,11,9,10,19,1,1
1,1,1,1,1,1,1,1,1,20,1,1,19,1,1,1,1,18,22,1,23,21,1
8,10,4,9,18,21,17,11,1,22,3,6,12,14,15,7,2,5,19,13,16,23,20
1,20,1,1,1,1,23,1,1,1,1,1,1,1,1,1,18,1,22,1,1,19,21
1,1,1,19,1,1,1,1,1,21,1,1,18,1,1,1,1,1,20,1,23,22,1
1,17,1,15,19,1,1,1,18,21,1,1,16,1,1,22,1,23,1,1,1,1,20
18,19,1,1,1,1,22,20,1,1,1,1,1,1,1,1,21,1,1,17,1,23,1
16,23,1,1,19,1,22,18,14,13,11,1,1,15,12,20,17,21,1,1,1,10,1
1,23,1,1,1,1,1,1,21,1,1,1,1,1,1,22,1,19,20,1,1,1,1
1,1,1,1,1,1,22,1,23,18,1,1,1,20,1,19,1,1,1,21,1,1,1
1,1,21,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,1,1
1,1,22,20,18,1,1,1,1,1,1,19,1,1,21,1,1,1,1,1,23,1,1
20,3,5,10,21,12,11,15,4,17,7,9,2,8,16,1,13,6,22,14,18,23,19
10,21,3,22,19,17,11,9,14,20,15,4,12,16,1,6,5,8,23,13,2,7,18
1,1,19,1,21,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,22,1,23
19,1,22,1,21,1,1,1,1,1,1,1,18,1,17,1,1,1,20,1,23,1,1
1,1,1,1,20,1,1,1,1,1,1,1,22,1,1,1,21,1,1,1,23,1,1
1,20,1,1,1,1,23,18,1,22,1,17,1,1,1,1,1,1,1,1,1,21,19
15,9,3,6,8,23,20,13,12,18,19,11,4,7,5,10,14,16,2,17,1,22,21
3,21,2,15,8,4,22,11,19,18,17,5,9,13,6,23,10,14,7,12,1,20,16
1,18,1,1,20,1,16,1,17,23,1,1,1,1,19,1,1,1,21,1,1,22,1
1,1,1,1,23,1,22,17,1,1,1,1,16,1,1,1,1,15,18,1,19,21,20
1,1,1,1,21,22,18,17,1,20,1,1,23,1,1,1,1,1,1,1,19,1,1
15,14,1,1,1,1,23,18,22,13,1,1,1,1,1,20,16,12,17,19,1,21,1
15,1,1,1,17,21,22,1,1,23,1,1,18,1,1,1,14,1,19,1,1,16,20
9,7,18,13,16,2,17,3,21,8,4,15,6,14,5,1,22,19,12,11,20,23,10
22,8,9,4,16,10,23,2,7,13,3,5,17,15,18,1,21,12,20,11,19,14,6
1,16,1,1,13,19,12,14,1,1,1,1,17,11,23,18,21,10,15,1,20,22,1
1,21,20,1,23,1,1,19,1,18,1,1,1,1,1,1,1,1,1,1,22,17,1
16,1,1,11,20,1,19,21,1,23,12,1,15,9,1,1,22,10,14,13,18,17,8
1,1,1,16,23,22,1,1,1,21,1,15,1,1,1,1,1,1,20,19,17,1,18
1,17,1,1,22,1,19,20,1,1,1,1,1,18,1,1,1,1,1,1,23,21,1
1,1,1,1,18,21,1,1,1,19,1,1,17,1,22,1,1,1,20,1,23,16,1
1,23,1,1,1,17,22,1,1,20,1,1,18,1,1,1,1,1,21,1,19,1,1
1,1,1,23,1,17,1,1,1,1,20,1,1,1,1,1,1,1,22,1,21,19,18
7,2,22,9,23,14,1,10,6,15,5,16,20,4,8,3,18,13,17,11,19,12,21
1,1,1,1,1,23,1,1,1,1,22,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,21,19,23,1,1,1,1,1,1,1,1,1,17,18,22,1,20,1,1
